timestamp,run,accuracy,motiontype,x,y,z
8098936385000,1,3,0,1.00603710,-0.65838695,0.52148950
8098956771000,1,3,0,0.88303035,-0.73011756,0.43729820
8098976790000,1,3,0,1.06036630,-0.65158534,0.60654200
8098996840000,1,3,0,1.08013160,-0.67767740,0.57482755
8099016799000,1,3,0,0.95719975,-0.50149417,0.30907670
8099053664000,1,3,0,0.98431146,-0.37244442,0.14725724
8099076979000,1,3,0,1.03965640,-0.56319356,0.50253140
8099098006000,1,3,0,0.96934730,-0.51298880,0.48304215
8099116561000,1,3,0,1.02347080,-0.65302490,0.45217934
8099331923000,1,3,0,0.73604290,-0.68718460,0.45225564
8099355422000,1,3,0,0.75511390,-0.60224175,0.51228560
8099375411000,1,3,0,0.76631510,-0.57170844,0.48108807
8099397841000,1,3,0,0.74764030,-0.49498585,0.48702470
8099427474000,1,3,0,0.73952430,-0.60439470,0.68295515
8099462294000,1,3,0,0.81451213,-0.49407795,0.59171810
8099494460000,1,3,0,0.83994466,-0.42958286,0.49620762
8099526595000,1,3,0,0.88663430,-0.48688440,0.59432640
8099560683000,1,3,0,0.84905760,-0.41800670,0.41219940
8099718550000,1,3,0,0.69729763,-0.48558120,0.57518137
8099749221000,1,3,0,0.71866660,-0.55153537,0.50426805
8099779097000,1,3,0,0.71442770,-0.42533280,0.28911915
8099810805000,1,3,0,0.70400614,-0.37261227,0.39982644
8099886855000,1,3,0,0.84351856,-0.48219422,0.59901370
8099906844000,1,3,0,0.84548545,-0.43911770,0.51608600
8099929549000,1,3,0,0.81276820,-0.45453860,0.38151208
8100152693000,1,3,0,0.93781114,-0.41318300,0.76917780
8100175429000,1,3,0,0.84885913,-0.46612194,0.37758103
8100195418000,1,3,0,0.77051675,-0.44976118,0.45126858
8100215590000,1,3,0,0.73889230,-0.62862754,0.56341400
8100235610000,1,3,0,0.67427180,-0.58550240,0.45096627
8100255599000,1,3,0,0.60463900,-0.58034587,0.44079630
8100275557000,1,3,0,0.67050490,-0.50188470,0.47382490
8100295516000,1,3,0,0.62058650,-0.49723270,0.38388290
8100317427000,1,3,0,0.55011183,-0.53104615,0.55518570
8100345381000,1,3,0,0.54926290,-0.49362352,0.75062790
8100365401000,1,3,0,0.62413144,-0.53949046,0.63867700
8100385604000,1,3,0,0.23900446,-0.57923390,-0.42432794
8100407668000,1,3,0,0.72076840,-0.35194996,0.53176343
8100426772000,1,3,0,0.70195144,-0.27622584,0.72522010
8100446761000,1,3,0,0.70575260,-0.43171337,0.69452800
8100468001000,1,3,0,0.67783797,-0.51099706,0.47044030
8100501387000,1,3,0,0.82633660,-0.34486845,0.38517610
8100527815000,1,3,0,0.74954367,-0.38081816,0.31333962
8100555617000,1,3,0,0.66225183,-0.38244417,0.28207913
