timestamp,run,accuracy,motiontype,x,y,z
8098936385000,1,3,1,1.0060371,-0.65838695,0.5214895
8098956771000,1,3,1,0.88303035,-0.73011756,0.4372982
8098976790000,1,3,1,1.0603663,-0.65158534,0.606542
8098996840000,1,3,1,1.0801316,-0.6776774,0.57482755
8099016799000,1,3,1,0.95719975,-0.50149417,0.3090767
8099053664000,1,3,1,0.98431146,-0.37244442,0.14725724
8099076979000,1,3,1,1.0396564,-0.56319356,0.5025314
8099098006000,1,3,1,0.9693473,-0.5129888,0.48304215
8099116561000,1,3,1,1.0234708,-0.6530249,0.45217934
8099331923000,1,3,1,0.7360429,-0.6871846,0.45225564
8099355422000,1,3,1,0.7551139,-0.60224175,0.5122856
8099375411000,1,3,1,0.7663151,-0.57170844,0.48108807
8099397841000,1,3,1,0.7476403,-0.49498585,0.4870247
8099427474000,1,3,1,0.7395243,-0.6043947,0.68295515
8099462294000,1,3,1,0.81451213,-0.49407795,0.5917181
8099494460000,1,3,1,0.83994466,-0.42958286,0.49620762
8099526595000,1,3,1,0.8866343,-0.4868844,0.5943264
8099560683000,1,3,1,0.8490576,-0.4180067,0.4121994
8099718550000,1,3,1,0.69729763,-0.4855812,0.57518137
8099749221000,1,3,1,0.7186666,-0.55153537,0.50426805
8099779097000,1,3,1,0.7144277,-0.4253328,0.28911915
8099810805000,1,3,1,0.70400614,-0.37261227,0.39982644
8099886855000,1,3,1,0.84351856,-0.48219422,0.5990137
8099906844000,1,3,1,0.84548545,-0.4391177,0.516086
8099929549000,1,3,1,0.8127682,-0.4545386,0.38151208
8100152693000,1,3,1,0.93781114,-0.413183,0.7691778
8100175429000,1,3,1,0.84885913,-0.46612194,0.37758103
8100195418000,1,3,1,0.77051675,-0.44976118,0.45126858
8100215590000,1,3,1,0.7388923,-0.62862754,0.563414
8100235610000,1,3,1,0.6742718,-0.5855024,0.45096627
8100255599000,1,3,1,0.604639,-0.58034587,0.4407963
8100275557000,1,3,1,0.6705049,-0.5018847,0.4738249
8100295516000,1,3,1,0.6205865,-0.4972327,0.3838829
8100317427000,1,3,1,0.55011183,-0.53104615,0.5551857
8100345381000,1,3,1,0.5492629,-0.49362352,0.7506279
8100365401000,1,3,1,0.62413144,-0.53949046,0.638677
8100385604000,1,3,1,0.23900446,-0.5792339,-0.42432794
8100407668000,1,3,1,0.7207684,-0.35194996,0.53176343
8100426772000,1,3,1,0.70195144,-0.27622584,0.7252201
8100446761000,1,3,1,0.7057526,-0.43171337,0.694528
8100468001000,1,3,1,0.67783797,-0.51099706,0.4704403
8100501387000,1,3,1,0.8263366,-0.34486845,0.3851761
8100527815000,1,3,1,0.74954367,-0.38081816,0.31333962
8100555617000,1,3,1,0.66225183,-0.38244417,0.28207913
8100576308000,1,3,1,0.626293,-0.39676407,0.31262627
8100682601000,1,3,1,0.4576768,-0.3392661,0.3534254
8100735457000,1,3,1,0.4863039,-0.5041568,0.5312685
8100755629000,1,3,1,0.59313196,-0.51330113,0.60251844
8100775588000,1,3,1,0.57130694,-0.4628432,0.4040455
8100795546000,1,3,1,0.55132794,-0.45169476,0.39114133
8100817031000,1,3,1,0.60798115,-0.3883665,0.49092236
8100845412000,1,3,1,0.517597,-0.50189805,0.468779
8100868575000,1,3,1,0.47465494,-0.5304849,0.43252793
8100895583000,1,3,1,0.522535,-0.47065666,0.4463915
8100915541000,1,3,1,0.5161523,-0.46296766,0.56336534
8100935530000,1,3,1,0.5214339,-0.40476778,0.4423069
8100955580000,1,3,1,0.50014424,-0.45526674,0.43374196
8100975814000,1,3,1,0.52016515,-0.42000988,0.40432587
8101315016000,1,3,1,0.41363308,-0.46496752,0.4567379
8101335433000,1,3,1,0.34562138,-0.44611958,0.24539414
8101358657000,1,3,1,0.3435934,-0.45677975,0.27018872
8101386916000,1,3,1,0.48530868,-0.41965035,0.5751184
8101415572000,1,3,1,0.49372256,-0.43577984,0.38253823
8101445601000,1,3,1,0.4471781,-0.42699078,0.42185822
8101549727000,1,3,1,0.41014138,-0.4838579,0.52713907
8101784743000,1,3,1,0.44941637,-0.40500954,0.44045392
8101805373000,1,3,1,0.449855,-0.32604006,0.31161156
8101825362000,1,3,1,0.42674556,-0.3255084,0.3217968
8101845503000,1,3,1,0.36973366,-0.4722078,0.30745068
8101865554000,1,3,1,0.29103047,-0.4875839,0.28900376
8101885543000,1,3,1,0.31608227,-0.48117855,0.39345685
8101905532000,1,3,1,0.23239917,-0.475045,0.48102036
8101928328000,1,3,1,0.27506986,-0.37632778,0.4046978
8101955367000,1,3,1,0.3442742,-0.34090832,0.39872018
8101975508000,1,3,1,0.31699303,-0.30492,0.3111967
8101995589000,1,3,1,0.31523994,-0.54624057,0.48298588
8102015517000,1,3,1,0.23306406,-0.47291782,0.38633195
8102036849000,1,3,1,0.26545033,-0.3912256,0.3363537
8102169905000,1,3,1,0.1477314,-0.4672039,0.7212709
8102197432000,1,3,1,0.21231595,-0.2820461,0.41227284
8102225600000,1,3,1,0.2725763,-0.26117924,0.40637723
8102245619000,1,3,1,0.009752423,-0.2361162,0.118936926
8102520613000,1,3,1,0.037469,-0.4836276,0.5715412
8102545424000,1,3,1,0.4746297,-0.30178335,0.3886303
8102575698000,1,3,1,0.51389116,-0.22305563,0.31031266
8102599532000,1,3,1,0.683073,-0.1962035,0.5440506
8102644393000,1,3,1,0.63349926,-0.24440506,0.63103044
8102693709000,1,3,1,0.7358655,-0.25481108,0.5032171
8103487105000,1,3,1,0.57945514,-0.20163038,0.026483923
8103989577000,1,3,1,0.44526798,-0.84964633,0.89884984
8104015547000,1,3,1,0.2521432,-0.6578338,0.8398384
8104045729000,1,3,1,-0.04241517,-0.53959155,0.8135036
8104081221000,1,3,1,-0.4955199,-0.760926,1.0811886
8104114424000,1,3,1,-0.8699507,-0.94122887,1.0441688
8104135390000,1,3,1,-0.90382147,-0.84831333,1.1280283
8104157851000,1,3,1,-0.8471926,-0.8199928,1.219211
8104185591000,1,3,1,-0.83199847,-0.82068205,1.1732525
8104205580000,1,3,1,-0.88720083,-0.9961319,1.2380985
8104225722000,1,3,1,-0.871036,-1.0227225,1.2667869
8104325606000,1,3,1,-0.37557748,-1.071908,0.56250703
8104345626000,1,3,1,-0.29935715,-1.074728,0.50230825
8104365370000,1,3,1,-0.100514024,-1.072254,0.37993374
8104475630000,1,3,1,0.6893674,-1.1243486,0.03639832
8104495589000,1,3,1,0.7341114,-1.0774236,-0.11722812
8104515608000,1,3,1,0.76486087,-1.036262,0.024484068
8104545394000,1,3,1,0.76701105,-1.3913491,0.397056
8104565291000,1,3,1,0.7678953,-1.3281748,0.40998212
8104585555000,1,3,1,0.5530373,-0.9978769,0.40702286
8104612685000,1,3,1,0.32678327,-0.6069257,0.96482503
8104638991000,1,3,1,0.41532117,-0.23341063,1.6840786
8104746871000,1,3,1,0.07238099,-0.82445455,0.7572235
8104872389000,1,3,1,0.8864993,-0.17753199,0.39711133
